UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
SP,Ocaucu,SP0058890,**.***.059/***-**,FLONER - INDÚSTRIA E COMÉRCIO LTDA.,FLONNER,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Curitiba,PR0013102,**.***.673/***-**,BRFERTIL S/A,BRFERTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EM GRANEL
PR,Apucarana,SP0065269,**.***.671/***-**,Caramuru Alimentos S.A.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0009105,**.***.212/***-**,sumitomo corporation do brasil s/a,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR,Ibiporã,PR0017663,**.***.628/***-**,BAYER S.A.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Araguari,MG0013722,**.***.402/***-**,ADM DO BRASIL LTDA,ADM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MA,Porto Franco,MA0006203,**.***.101/***-**,Bunge Alimentos S/A,BUNGE ALIMENTOS S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
SP,Jacareí,SP0027650,**.***.138/***-**,icl america do sul s.a.,icl,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RS,Carazinho,RS0043583,**.***.765/***-**,E. ORLANDO ROOS COMERCIO DE CEREAIS LTDA,ROOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Araguari,MG0013439,**.***.467/***-**,BIDOIA MAGALHAES FERTILIZANTES LTDA,MASTERFOL FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MS,Dourados,MS0009296,**.***.320/***-**,macrofértil indústria e comércio de fertilizantes s.a.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
BA,Juazeiro,BA0002550,**.***.037/***-**,ourofertil nordeste ltda,OUROFERTIL NORDESTE,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
RS,Porto Alegre,RS0026212,**.***.127/***-**,OLEOPLAN S/A ÓLEOS VEGETAIS PLANALTO,OLEOPLAN S/A ÓLEOS VEGETAIS PLANALTO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Matozinhos,MG0032930,**.***.228/***-**,MACRO E MICRO COMERCIO DE ADUBOS LTDA,ADUBOS VANGUARD,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
TO,Arraias,TO0003999,**.***.578/***-**,ITAFOS ARRAIAS MINERAÇÃO E FERTILIZANTES S.A,ITAFOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
GO,Goiânia,GO0012017,**.***.238/***-**,BRATA COMERCIO DE INSUMOS AGRICOLAS LTDA,Brata Group,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
SP,Meridiano,SP0033910,**.***.338/***-**,COFCO INTERNATIONAL BRASIL S.A,COFCO INTL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Meridiano,SP0033910,**.***.338/***-**,COFCO INTERNATIONAL BRASIL S.A,COFCO INTL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Itapeva,SP0047570,**.***.895/***-**,votorantim cimentos s/a,VOTORANTIM CIMENTOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MT,Lucas do Rio Verde,MT0006165,**.***.402/***-**,ADM DO BRASIL LTDA,ADM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Almirante Tamandaré,PR0013641,**.***.874/***-**,TERRA RICA - INDUSTRIA E COMERCIO DE CALCARIOS E FERTILIZANTES DO SOLO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Rondonópolis,MT0002585,**.***.961/***-**,COMERCIAL AGRICOLA RONDON LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Ibiporã,PR0024210,**.***.822/***-**,SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.,SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Maracaju,MS0014680,**.***.402/***-**,ADM DO BRASIL LTDA,ADM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Joinville,SC0010057,**.***.106/***-**,TDZ COMERCIAL IMPORTADORA E EXPORTADORA LTDA,TD Trading,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
MA,Balsas,MA0003247,**.***.785/***-**,Agrex do Brasil Ltda.,AGREX DO BRASIL LTDA.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
AM,Manaus,AM0002283,**.***.041/***-**,COCIL-CONSTRUÇÕES CIVIS E INDUSTRIAIS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Ourinhos,SP0026581,**.***.684/***-**,ADUBOS SUDOESTE LTDA,ADUBOS SUDOESTE,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG,Pains,MG0007340,**.***.383/***-**,T.M.F. INDUSTRIA DE FERTILIZANTES INTELIGENTES LTDA,T.M.F. FERTILIZANTES INTELIGENTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
GO,Goiatuba,GO0011762,**.***.283/***-**,SUL GOIANA INDÚSTRIA E COMERCIO DE FERTILIZANTES LTDA,ADUBOS SUL GOIANO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Santos,SP0054801,**.***.101/***-**,BUNGE ALIMENTOS S/A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
PR,Paranaguá,PR0009024,**.***.572/***-**,AGRO INDUSTRIAL SÃO LUIZ LTDA,CIBRA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Artur Nogueira,SP0035122,**.***.281/***-**,amafibra - fibras e substratos agricolas da amazonia,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Venâncio Aires,RS0038741,**.***.840/***-**,cta - continental tobaccos alliance s/a,CTA - CONTINENTAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Santa Helena,PR0029467,**.***.745/***-**,INDUSTRIA DE FERTILIZANTES MACROBIO LTDA,INDUSTRIA DE FERTILIZANTES MACROBIO LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Curitiba,PR0008206,**.***.929/***-**,B&R BRASIL IMPORTAÇÃO E COMÉRCIO DE FERRAMENTAS FERTILIZANTES E UTILIDADES LTDA,BOUTIN CAMPO & JARDIM,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
MG,Arcos,MG0020389,**.***.693/***-**,mineração belocal ltda,MINERAÇÃO BELOCAL LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
SC,Chapecó,SC0012203,**.***.471/***-**,BUSCHLE & LEPPER S.A,BUSCHLE & LEPPER S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Brejo Alegre,SP0013005,**.***.737/***-**,CAIÇARA COMÉRCIO DE SEMENTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Varginha,MG0003417,**.***.525/***-**,LOUIS DREYFUS COMPANY BRASIL S.A.,LOUIS DREYFUS COMPANY BRASIL S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Cachoeirinha,RS0028550,**.***.295/***-**,RIGRANTEC TECNOLOGIAS PARA SEMENTES E PLANTAS LTDA.,RIGRANTEC,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Pouso Alegre,MG0015423,**.***.447/***-**,ADUBOS REAL S/A.,Adubos Real,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
AM,Manaus,AM0003107,**.***.052/***-**,TRAIRI COMERCIO DE DERIVADOS DE -PETROLEO LTDA,TRAIRI COMERCIO DE DERIVADOS DE PETROLEO LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
PE,Petrolina,PE0005380,**.***.743/***-**,VALEAGRO COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA.,VALEAGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR,Paranaguá,PR0007072,**.***.486/***-**,MOSAIC FERTILIZANTES P&K LTDA,MOSAIC FERTILIZANTES P&K LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Atibaia,SP0052787,**.***.162/***-**,AGROHUMUS IND. E COM. DE FERTILIZANTES LTDA,AGROHUMUS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SC,Florianópolis,SC0013315,**.***.407/***-**,VOX COMERCIAL IMPORTADORA E EXPORTADORA LTDA,VOX INTERNATIONAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR,Paranaguá,PR0017191,**.***.732/***-**,KOCH FERTILIZANTES DO BRASIL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
PE,Recife,PE0003972,**.***.330/***-**,proplanta agro comercial ltda,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Paranaguá,PR0005932,**.***.737/***-**,"sqm vitas brasil agroindustria, importaçao e exportação ltda",SQM VITAS BRASIL AGROINDUSTRIA IMPORTAÇÃO E EXPORTAÇÃO LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
SP,Paulínia,SP0053376,**.***.929/***-**,CORTEVA AGROSCIENCE DO BRASIL LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
SP,Paulínia,SP0053376,**.***.929/***-**,CORTEVA AGROSCIENCE DO BRASIL LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Paulínia,SP0053376,**.***.929/***-**,CORTEVA AGROSCIENCE DO BRASIL LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EM GRANEL
PR,Guapirama,PR0008346,**.***.841/***-**,C.A.L. VICENTE NUTRICAO ANIMAL ME,AGROCAL FERTILIZANTES E INSUMOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
GO,Cidade Ocidental,GO0014885,**.***.993/***-**,QUALYQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S.A.,FERTILAQUA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MA,Balsas,MA0003611,**.***.706/***-**,Cargill Agricola S A,CARGILL AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
SP,Jardinópolis,SP0020893,**.***.961/***-**,INSETIMAX INDUSTRIA QUIMICA LTDA,INSETIMAX,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Luís Eduardo Magalhães,BA0004502,**.***.228/***-**,fertilizantes tocantins s.a,FERTILIZANTES TOCANTINS LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
PR,Paranaguá,PR0009156,**.***.959/***-**,OCP FERTILIZANTES LTDA,OCP FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
RS,Canoas,RS0033545,**.***.604/***-**,YARA BRASIL FERTILIZANTES S.A,Yara Brasil Fertilizantes S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Charqueada,SP0028215,**.***.190/***-**,KOPPERT DO BRASIL HOLDING LTDA,KOPPERT,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
AL,Santa Luzia do Norte,AL0001759,**.***.748/***-**,GTS QUIMICA LTDA,GTS QUIMICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
AL,Santa Luzia do Norte,AL0001759,**.***.748/***-**,GTS QUIMICA LTDA,GTS QUIMICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
PR,Jaguariaíva,PR0018597,**.***.816/***-**,LUPA INDUSTRIA E COMERCIO DE FERTILIZANTES ORGANICOS LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,SUBSTRATO PARA PLANTAS
SP,Cardeal,SP0046264,**.***.104/***-**,SAS DO BRASIL SOLUÇOES AGROSUSTENTAVEIS LTDA,SAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MT,Água Boa,MT0006955,**.***.785/***-**,AGREX DO BRASIL LTDA.,AGREX DO BRASIL LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Cruz Alta,RS0033308,**.***.604/***-**,YARA BRASIL FERTILIZANTES S.A,YARA BRASIL FERTILIZANTES S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Primavera do Leste,MT0004162,**.***.717/***-**,BASE INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,BASE FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Uberaba,MG0008770,**.***.486/***-**,MOSAIC FERTILIZANTES P&K LTDA,Mosaic Fertililantes,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Uberlândia,MG0009598,**.***.524/***-**,ADFERT ADITIVOS INDUSTRIA E COMERCIO LTDA,Adfert,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RS,Salto do Jacuí,RS0002364,**.***.595/***-**,Cooperativa Tritícola de Espumoso Ltda,COTRIEL SALTO DO JACUÍ,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Vicente,SP0034959,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,SAV,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0019780,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,SPL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0034967,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,SBK,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
AC,Acrelândia,AC0000090,**.***.261/***-**,casa da lavoura produtos agropecuários importação e EXP. LDTA - EPP,CASA DA LAVOURA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RJ,Rio de Janeiro,RJ0011703,**.***.915/***-**,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA,RJB,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Buriti Alegre,GO0001481,**.***.442/***-**,COOPERATIVA MISTA DOS PRODUTORES DE LEITE DE MORRINHOS,COMPLEM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Ponta Porã,MS0011398,**.***.383/***-**,COAMO AGROINDUSTRIAL COOPERATIVA,COAMO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Ji-Paraná,RO0000035,**.***.397/***-**,Casa da Lavoura Com. de Produtos Veterinários e Agricolas Ltda,Casa da Lavoura,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Braço do Norte,SC0023086,**.***.993/***-**,TURAMIX NUTRIÇÃO ANIMAL LTDA,TURAMIX,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Ji-Paraná,RO0002208,**.***.165/***-**,MERCONORTE DISTRIBUIDORA DE FERRAGENS LTDA,MACHADAO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Ji-Paraná,RO0000191,**.***.113/***-**,Casa do Adubo S.A.,CASA DO ADUBO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Piracicaba,SP0028169,**.***.217/***-**,WINFIELD INSUMOS AGRICOLAS DO BRASIL LTDA,WINFIELD INSUMOS AGRICOLAS DO BRASIL LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC,Chapecó,SC0025593,**.***.235/***-**,COOPERATIVA AGROINDUSTRIAL ALFA,Cooperalfa,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Jaboticabal,SP0044571,**.***.799/***-**,NPA NUCLEO DE PESQUISAS APLICADAS LTDA,NPA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RJ,Rio de Janeiro,RJ0014346,**.***.914/***-**,AECI LATAM PRODUTOS QUIMICOS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
CE,Fortaleza,CE0000639,**.***.099/***-**,ADRISSE PRODUTOS VETERINÁRIOS E AGROPECUÁRIOS LTDA - EPP,ADRISSE PROD VETERINARIOS E AGROPECUARIOS LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Caarapó,MS0003020,**.***.383/***-**,COAMO AGROINDUSTRIAL COOPERATIVA,COAMO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Guarulhos,SP0042722,**.***.812/***-**,BRASILMINAS INDUSTRIA E COMERCIO LTDA,******,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Cáceres,MT0002852,**.***.194/***-**,C. B. DA SILVEIRA LTDA,Minuano,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
PR,Curitiba,PR0006289,**.***.150/***-**,hexion quimica do brasil ltda,Hexion Quimica do Brasil Ltda,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Monte Azul Paulista,SP0016594,**.***.109/***-**,UNICERES COOPERATIVA DOS AGROPECUARISTAS DE CATANDUVA,UNICERES,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Ji-Paraná,RO0001821,**.***.861/***-**,BOASAFRA COMERCIO E REPRESENTAÇÕES LTDA,BOASAFRA COMERCIO E REPRESENTACOES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PB,Campina Grande,PB0000566,**.***.075/***-**,RANCHO ALEGRE DIST. DE PROD. AGROP. LTDA,RANCHO ALEGRE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Cambé,PR0019542,**.***.604/***-**,YARA BRASIL FERTILIZANTES S.A,Yara Brasil Fertilizantes S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
ES,Alfredo Chaves,ES0001112,**.***.831/***-**,Comercio Agropecuario Fardin ltda ME,Vaneli Fardin Agricola Veterinaria e Construção,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Curitiba,PR0003280,**.***.116/***-**,ITERUM COMÉRCIO INTERNACIONAL LTDA,ITERUM INTERNACIONAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC,Lebon Régis,SC0008966,**.***.645/***-**,COOPERATIVA DOS PRODUTORES DE HORTALIÇAS DE LEBLON REGIS COOPERHORT,COOPERHORT,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Almirante Tamandaré,PR0012599,**.***.608/***-**,FERTILIZE AGRICOLA LTDA,FERTILIZE,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Paranaguá,PR0033820,**.***.578/***-**,ARAGUAIA S.A.,ADUBOS ARAGUAIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RS,Carazinho,RS0029149,**.***.755/***-**,helm do brasil mercantil ltda.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG,Alfenas,MG0007889,**.***.604/***-**,YARA BRASIL FERTILIZANTES S.A.,Yara Brasil Fertilizantes S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RN,Mossoró,RN0003204,**.***.381/***-**,COSMOCEL DO BRASIL NUTRIÇÃO VEGETAL LTDA,FERTITECH,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC,Arvoredo,SC0001910,**.***.212/***-**,COOPERATIVA DE PRODUÇÃO E CONSUMO CONCÓRDIA,COPÉRDIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Itajaí,SC0008869,**.***.980/***-**,PRANA COMERCIO EXTERIOR LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
MG,Pratápolis,MG0009679,**.***.430/***-**,MINERAÇÃO MORRO AZUL LTDA,FORZA FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,São Joaquim da Barra,SP0032026,**.***.896/***-**,BIOVALENS S/A,BIOVALENS S.A,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Brejetuba,ES0004235,**.***.069/***-**,COOPERATIVA DOS CAFEICULTORES DA REGIÃO DE LAJINHA LTDA,COOCAFE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Guaraciaba do Norte,CE0004596,**.***.659/***-**,FORTEAGRO PRODUTOS AGROPECUARIOS LTDA,FORTEAGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Crato,CE0001082,**.***.633/***-**,Jamille Cristina Paulino Silva - ME,Terra Forte,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Telêmaco Borba,PR0016055,**.***.703/***-**,MEC PREC INDUSTRIA E COMERCIO LTDA,Fábrica Wolff Klabin,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,SUBSTRATO PARA PLANTAS
ES,Itaguaçu,ES0000760,**.***.881/***-**,DEFAGRO DEFENSIVOS AGRICOLAS LTDA,DEFEGRO DEFENSIVOS AGRICOLAS LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Santa Maria de Jetibá,ES0000580,**.***.437/***-**,STUHR AGROPECUÁRIA LTDA,STUHR AGROPECUARIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
